50, 31, 50, 0, 50.0, 15.5
33, 200, 33, 181, 33.0, 190.5
35, 48, 35, 35, 35.0, 41.5
268, 171, 269, 162, 268.5, 166.5
50, 348, 56, 354, 53.0, 351.0
34, 211, 34, 201, 34.0, 206.0
144, 29, 153, 32, 148.5, 30.5
173, 167, 179, 161, 176.0, 164.0
164, 79, 173, 85, 168.5, 82.0
255, 300, 255, 294, 255.0, 297.0
259, 140, 262, 146, 260.5, 143.0
251, 138, 251, 152, 251.0, 145.0
53, 37, 54, 12, 53.5, 24.5
49, 32, 49, 64, 49.0, 48.0
43, 340, 67, 365, 55.0, 352.5
2, 316, 8, 309, 5.0, 312.5
218, 16, 219, 0, 218.5, 8.0
165, 46, 170, 50, 167.5, 48.0
254, 331, 254, 305, 254.0, 318.0
178, 321, 178, 317, 178.0, 319.0
256, 257, 256, 253, 256.0, 255.0
203, 75, 211, 83, 207.0, 79.0
218, 346, 220, 339, 219.0, 342.5
259, 230, 259, 222, 259.0, 226.0
13, 288, 13, 284, 13.0, 286.0
205, 39, 211, 40, 208.0, 39.5
41, 291, 44, 286, 42.5, 288.5
61, 312, 62, 316, 61.5, 314.0
34, 81, 34, 49, 34.0, 65.0
153, 217, 163, 213, 158.0, 215.0
230, 192, 240, 192, 235.0, 192.0
255, 259, 255, 269, 255.0, 264.0
221, 325, 221, 321, 221.0, 323.0
118, 206, 127, 197, 122.5, 201.5
141, 31, 148, 34, 144.5, 32.5
159, 20, 164, 25, 161.5, 22.5
217, 86, 221, 90, 219.0, 88.0
254, 247, 254, 228, 254.0, 237.5
206, 77, 211, 82, 208.5, 79.5
6, 204, 13, 204, 9.5, 204.0
258, 245, 258, 235, 258.0, 240.0
9, 172, 15, 172, 12.0, 172.0
225, 139, 232, 134, 228.5, 136.5
222, 320, 222, 314, 222.0, 317.0
173, 55, 183, 61, 178.0, 58.0
144, 359, 153, 365, 148.5, 362.0
268, 211, 273, 211, 270.5, 211.0
259, 212, 264, 213, 261.5, 212.5
109, 336, 113, 339, 111.0, 337.5
95, 336, 98, 341, 96.5, 338.5
87, 334, 90, 338, 88.5, 336.0
266, 111, 274, 119, 270.0, 115.0
262, 124, 267, 129, 264.5, 126.5
221, 17, 221, 9, 221.0, 13.0
169, 273, 169, 263, 169.0, 268.0
171, 170, 181, 160, 176.0, 165.0
256, 76, 261, 82, 258.5, 79.0
32, 164, 32, 155, 32.0, 159.5
136, 17, 140, 20, 138.0, 18.5
252, 277, 252, 282, 252.0, 279.5
157, 45, 162, 49, 159.5, 47.0
146, 60, 149, 64, 147.5, 62.0
205, 68, 220, 68, 212.5, 68.0
136, 29, 140, 30, 138.0, 29.5
34, 329, 43, 338, 38.5, 333.5
157, 56, 166, 63, 161.5, 59.5
34, 117, 35, 103, 34.5, 110.0
227, 118, 231, 116, 229.0, 117.0
234, 215, 234, 209, 234.0, 212.0
170, 255, 170, 260, 170.0, 257.5
75, 311, 81, 324, 78.0, 317.5
214, 167, 220, 166, 217.0, 166.5
280, 171, 285, 170, 282.5, 170.5
73, 40, 79, 33, 76.0, 36.5
176, 70, 179, 74, 177.5, 72.0
131, 212, 137, 218, 134.0, 215.0
